Year,Month,Day,Hour,Minute,Second,Millisecond,Voltage,Current
2025,07,17,15,02,54,045,0000,0000
2025,07,17,15,02,54,058,0000,0000
2025,07,17,15,02,54,072,0000,0000
2025,07,17,15,02,54,085,0000,0000
2025,07,17,15,02,54,099,0000,0000
2025,07,17,15,02,54,112,0000,0000
2025,07,17,15,02,54,126,0000,0000
2025,07,17,15,02,54,139,0000,0000
2025,07,17,15,02,54,153,0000,0000
2025,07,17,15,02,54,166,0000,0000
2025,07,17,15,02,54,179,0000,0000
2025,07,17,15,02,54,193,0000,0000
2025,07,17,15,02,54,206,0000,0000
2025,07,17,15,02,54,220,0000,0000
2025,07,17,15,02,54,233,0000,0000
2025,07,17,15,02,54,247,0000,0000
2025,07,17,15,02,54,260,0000,0000
2025,07,17,15,02,54,274,0000,0000
2025,07,17,15,02,54,287,0000,0000
2025,07,17,15,02,54,301,0000,0000
2025,07,17,15,02,54,314,0000,0000
2025,07,17,15,02,54,327,0000,0000
2025,07,17,15,02,54,341,0000,0000
2025,07,17,15,02,54,354,0000,0000
2025,07,17,15,02,54,368,0000,0000
2025,07,17,15,02,54,381,0000,0000
2025,07,17,15,02,54,395,0000,0000
2025,07,17,15,02,54,408,0000,0000
2025,07,17,15,02,54,422,0000,0000
2025,07,17,15,02,54,435,0000,0000
2025,07,17,15,02,54,448,0000,0000
2025,07,17,15,02,54,462,0000,0000
2025,07,17,15,02,54,475,0000,0000
2025,07,17,15,02,54,489,0000,0000
2025,07,17,15,02,54,502,0000,0000
2025,07,17,15,02,54,516,0000,0000
2025,07,17,15,02,54,529,0000,0000
2025,07,17,15,02,54,543,0000,0000
2025,07,17,15,02,54,556,0000,0000
2025,07,17,15,02,54,570,0000,0000
2025,07,17,15,02,54,583,0000,0000
2025,07,17,15,02,54,597,0000,0000
2025,07,17,15,02,54,610,0000,0000
2025,07,17,15,02,54,624,0000,0000
2025,07,17,15,02,54,637,0000,0000
2025,07,17,15,02,54,651,0000,0000
2025,07,17,15,02,54,664,0000,0000
2025,07,17,15,02,54,677,0000,0000
2025,07,17,15,02,54,691,0000,0000
2025,07,17,15,02,54,704,0000,0000
2025,07,17,15,02,54,718,0000,0000
2025,07,17,15,02,54,731,0000,0000
2025,07,17,15,02,54,745,0000,0000
2025,07,17,15,02,54,758,0000,0000
2025,07,17,15,02,54,772,0000,0000
2025,07,17,15,02,54,785,0000,0000
2025,07,17,15,02,54,799,0000,0000
2025,07,17,15,02,54,812,0000,0000
2025,07,17,15,02,54,825,0000,0000
2025,07,17,15,02,54,839,0000,0000
2025,07,17,15,02,54,852,0000,0000
2025,07,17,15,02,54,866,0000,0000
2025,07,17,15,02,54,879,0000,0000
2025,07,17,15,02,54,893,0000,0000
2025,07,17,15,02,54,906,0000,0000
2025,07,17,15,02,54,920,0000,0000
2025,07,17,15,02,54,933,0000,0000
2025,07,17,15,02,54,947,0000,0000
2025,07,17,15,02,54,960,0000,0000
2025,07,17,15,02,54,974,0000,0000
2025,07,17,15,02,54,987,0000,0000
2025,07,17,15,02,55,001,0000,0000
2025,07,17,15,02,55,014,0000,0000
2025,07,17,15,02,55,027,0000,0000
2025,07,17,15,02,55,041,0000,0000
2025,07,17,15,02,55,054,0000,0000
2025,07,17,15,02,55,068,0000,0000
2025,07,17,15,02,55,081,0000,0000
2025,07,17,15,02,55,095,0000,0000
2025,07,17,15,02,55,108,0000,0000
2025,07,17,15,02,55,122,0000,0000
2025,07,17,15,02,55,135,0000,0000
2025,07,17,15,02,55,148,0000,0000
2025,07,17,15,02,55,162,0000,0000
2025,07,17,15,02,55,175,0000,0000
2025,07,17,15,02,55,189,0000,0000
2025,07,17,15,02,55,202,0000,0000
2025,07,17,15,02,55,216,0000,0000
2025,07,17,15,02,55,229,0000,0000
2025,07,17,15,02,55,243,0000,0000
2025,07,17,15,02,55,256,0000,0000
2025,07,17,15,02,55,269,0000,0000
2025,07,17,15,02,55,283,0000,0000
2025,07,17,15,02,55,296,0000,0000
2025,07,17,15,02,55,310,0000,0000
2025,07,17,15,02,55,323,0000,0000
2025,07,17,15,02,55,337,0000,0000
2025,07,17,15,02,55,350,0000,0000
2025,07,17,15,02,55,363,0000,0000
2025,07,17,15,02,55,377,0000,0000
2025,07,17,15,02,55,390,0000,0000
2025,07,17,15,02,55,404,0000,0000
2025,07,17,15,02,55,417,0000,0000
2025,07,17,15,02,55,431,0000,0000
2025,07,17,15,02,55,444,0000,0000
2025,07,17,15,02,55,458,0000,0000
2025,07,17,15,02,55,471,0000,0000
2025,07,17,15,02,55,485,0000,0000
2025,07,17,15,02,55,498,0000,0000
2025,07,17,15,02,55,512,0000,0000
2025,07,17,15,02,55,525,0000,0000
2025,07,17,15,02,55,539,0000,0000
2025,07,17,15,02,55,552,0000,0000
2025,07,17,15,02,55,565,0000,0000
2025,07,17,15,02,55,579,0000,0000
2025,07,17,15,02,55,592,0000,0000
2025,07,17,15,02,55,606,0000,0000
2025,07,17,15,02,55,619,0000,0000
2025,07,17,15,02,55,633,0000,0000
2025,07,17,15,02,55,646,0000,0000
2025,07,17,15,02,55,660,0000,0000
2025,07,17,15,02,55,673,0000,0000
2025,07,17,15,02,55,687,0000,0000
2025,07,17,15,02,55,700,0000,0000
2025,07,17,15,02,55,714,0000,0000
2025,07,17,15,02,55,727,0000,0000
2025,07,17,15,02,55,740,0000,0000
2025,07,17,15,02,55,754,0000,0000
2025,07,17,15,02,55,767,0000,0000
2025,07,17,15,02,55,781,0000,0000
2025,07,17,15,02,55,794,0000,0000
2025,07,17,15,02,55,808,0000,0000
2025,07,17,15,02,55,821,0000,0000
2025,07,17,15,02,55,835,0000,0000
2025,07,17,15,02,55,848,0000,0000
